id,date,table_id,duration,red_goal,blue_goal,winner
15295,2023-02-06,5,765,0,4,BLUE
23800,2023-03-24,7,537,10,7,RED
23577,2025-01-13,26,1022,2,6,BLUE
20644,2025-11-11,21,318,6,9,BLUE
11677,2023-09-30,26,360,3,10,BLUE
19911,2023-07-04,26,300,9,8,RED
15349,2023-11-16,24,1080,0,4,BLUE
4849,2025-11-16,20,491,7,7,TIE
22917,2023-03-20,24,902,8,7,RED
463,2024-02-04,18,971,0,5,BLUE
22335,2023-06-24,10,720,0,10,BLUE
2507,2024-01-29,18,1107,6,5,RED
10434,2025-05-22,3,448,2,5,BLUE
20195,2024-02-18,8,900,2,2,TIE
5421,2024-08-15,5,611,3,7,BLUE
21276,2024-03-25,11,816,9,1,RED
9914,2025-05-19,27,780,8,0,RED
19897,2025-10-14,7,590,4,9,BLUE
16295,2024-04-16,18,1142,8,3,RED
9756,2024-01-02,1,480,2,0,RED
2333,2025-05-11,7,564,1,4,BLUE
6772,2025-07-15,8,540,3,8,BLUE
14132,2024-10-28,1,780,1,2,BLUE
11286,2025-04-02,28,613,7,8,BLUE
23513,2025-10-11,8,780,2,5,BLUE
10866,2024-08-14,14,693,4,10,BLUE
16212,2025-10-12,10,531,7,2,RED
2491,2024-06-30,17,526,2,6,BLUE
22374,2023-12-30,22,441,9,9,TIE
5083,2023-02-10,18,586,10,10,TIE
1030,2024-08-11,26,600,0,2,BLUE
3515,2025-11-10,12,321,2,3,BLUE
12922,2025-09-30,3,300,5,8,BLUE
23023,2025-06-07,5,383,2,3,BLUE
676,2023-10-28,19,1111,10,10,TIE
22645,2025-12-12,26,540,5,1,RED
4220,2023-08-19,9,720,2,0,RED
21654,2025-10-30,29,322,7,2,RED
1185,2025-09-17,27,600,5,7,BLUE
22109,2025-06-19,20,660,10,10,TIE
1683,2023-10-20,17,950,0,2,BLUE
24657,2023-01-03,4,561,4,6,BLUE
16057,2025-02-17,9,865,7,7,TIE
5656,2023-03-29,5,1143,8,2,RED
21512,2024-11-02,20,1094,10,0,RED
3438,2024-10-13,19,600,10,3,RED
12107,2025-03-25,11,823,6,8,BLUE
2944,2025-02-25,29,940,6,1,RED
18806,2024-05-17,14,840,8,3,RED
15687,2023-11-26,7,953,4,6,BLUE
21227,2025-08-26,1,344,9,8,RED
4595,2023-08-25,9,420,5,2,RED
16066,2024-02-02,13,680,5,1,RED
11880,2023-04-10,30,854,7,4,RED
16082,2023-01-03,19,576,8,0,RED
18544,2025-08-30,19,780,4,5,BLUE
13251,2024-07-25,16,992,10,4,RED
13368,2025-02-07,2,540,7,10,BLUE
20136,2025-01-01,28,444,0,10,BLUE
8964,2023-08-20,2,794,4,5,BLUE
13879,2023-01-03,11,300,1,10,BLUE
1381,2024-11-14,22,941,2,7,BLUE
5409,2025-02-12,26,999,0,7,BLUE
2543,2023-05-29,30,562,2,9,BLUE
9019,2024-03-26,27,975,1,1,TIE
6818,2024-03-06,8,1140,2,8,BLUE
24002,2023-03-24,27,406,7,5,RED
1422,2023-08-22,3,639,3,10,BLUE
9466,2024-02-11,13,589,8,7,RED
237,2025-02-05,8,360,7,1,RED
22301,2024-11-18,7,1104,3,10,BLUE
19431,2025-08-31,2,1020,4,0,RED
5791,2024-08-09,12,570,3,3,TIE
17256,2025-04-20,7,602,1,2,BLUE
12034,2024-03-09,15,554,4,9,BLUE
8914,2023-06-27,6,867,1,7,BLUE
14602,2024-09-01,26,667,3,2,RED
6134,2025-03-22,18,1196,6,9,BLUE
1117,2025-12-25,1,436,7,0,RED
2144,2024-04-24,11,1018,1,9,BLUE
7393,2024-05-13,1,960,2,10,BLUE
23527,2024-05-07,29,664,2,8,BLUE
9686,2024-10-17,5,970,1,2,BLUE
11236,2023-01-09,1,780,0,10,BLUE
9275,2024-03-31,26,317,4,5,BLUE
15612,2023-05-24,22,1083,10,3,RED
10945,2023-02-11,19,1022,4,1,RED
14493,2024-03-01,26,618,4,4,TIE
19542,2025-04-07,16,300,4,10,BLUE
22992,2024-12-09,29,850,3,5,BLUE
16231,2025-11-21,8,635,0,7,BLUE
19932,2023-01-11,22,952,1,3,BLUE
10948,2025-05-15,4,780,9,7,RED
8043,2024-02-18,7,1020,10,2,RED
10243,2023-11-23,20,746,7,2,RED
21839,2024-11-30,30,1065,1,2,BLUE
16865,2023-07-19,12,612,3,1,RED
23027,2025-09-30,15,1139,4,1,RED
5814,2024-09-21,16,720,4,5,BLUE
5981,2024-06-15,17,938,2,8,BLUE
14719,2025-07-25,9,591,2,7,BLUE
5967,2023-08-14,16,885,7,3,RED
7839,2025-09-11,4,820,3,10,BLUE
2816,2024-03-01,11,686,1,8,BLUE
24009,2023-06-02,11,540,7,8,BLUE
10271,2025-02-16,16,960,5,9,BLUE
16703,2023-10-16,17,720,0,7,BLUE
21083,2023-01-23,4,360,8,7,RED
16582,2025-07-22,20,360,3,3,TIE
193,2025-10-08,20,1140,10,7,RED
