user_id,game_id,role,team
382,15295,DEF,RED
356,23800,DEF,BLUE
267,23577,ATK,RED
208,20644,DEF,BLUE
27,11677,ATK,RED
181,19911,DEF,RED
734,15349,DEF,RED
349,4849,DEF,RED
168,22917,DEF,BLUE
22,463,DEF,BLUE
376,22335,ATK,RED
77,2507,DEF,RED
545,10434,ATK,RED
796,20195,ATK,BLUE
175,5421,DEF,RED
481,21276,DEF,RED
689,9914,DEF,BLUE
323,19897,ATK,BLUE
635,16295,DEF,BLUE
521,9756,DEF,BLUE
262,2333,ATK,RED
666,6772,DEF,RED
362,14132,ATK,BLUE
138,11286,ATK,RED
610,23513,DEF,BLUE
306,10866,ATK,BLUE
175,16212,ATK,RED
29,2491,DEF,BLUE
760,22374,DEF,BLUE
370,5083,ATK,BLUE
257,1030,ATK,BLUE
637,3515,ATK,RED
784,12922,DEF,RED
146,23023,DEF,RED
29,676,DEF,RED
83,22645,DEF,BLUE
658,4220,DEF,BLUE
584,21654,DEF,BLUE
126,1185,DEF,BLUE
349,22109,DEF,RED
723,1683,ATK,BLUE
194,24657,DEF,RED
168,16057,DEF,RED
205,5656,DEF,BLUE
66,21512,ATK,RED
111,3438,DEF,RED
456,12107,DEF,BLUE
458,2944,DEF,RED
492,18806,DEF,RED
450,15687,ATK,RED
94,21227,DEF,BLUE
5,4595,ATK,RED
151,16066,DEF,RED
571,11880,DEF,BLUE
395,16082,DEF,RED
799,18544,DEF,BLUE
22,13251,DEF,BLUE
153,13368,DEF,RED
524,20136,ATK,RED
11,8964,ATK,BLUE
433,13879,DEF,BLUE
507,1381,ATK,BLUE
663,5409,ATK,RED
50,2543,ATK,RED
593,9019,ATK,RED
152,6818,ATK,RED
458,24002,ATK,BLUE
379,1422,ATK,BLUE
684,9466,ATK,RED
716,237,DEF,BLUE
649,22301,ATK,RED
41,19431,DEF,RED
686,5791,ATK,RED
526,17256,ATK,BLUE
378,12034,ATK,BLUE
621,8914,ATK,RED
542,14602,ATK,BLUE
655,6134,DEF,BLUE
512,1117,ATK,BLUE
212,2144,ATK,BLUE
332,7393,ATK,RED
343,23527,DEF,BLUE
762,9686,DEF,BLUE
19,11236,DEF,BLUE
532,9275,DEF,BLUE
341,15612,ATK,RED
177,10945,ATK,RED
58,14493,DEF,RED
638,19542,DEF,BLUE
99,22992,DEF,RED
251,16231,ATK,BLUE
198,19932,DEF,RED
677,10948,DEF,RED
315,8043,ATK,BLUE
653,10243,ATK,BLUE
495,21839,DEF,BLUE
610,16865,DEF,BLUE
770,23027,ATK,RED
425,5814,DEF,BLUE
784,5981,DEF,RED
720,14719,ATK,BLUE
798,5967,DEF,BLUE
355,7839,DEF,RED
336,2816,DEF,RED
408,24009,DEF,RED
749,10271,DEF,RED
740,16703,ATK,BLUE
138,21083,DEF,RED
302,16582,ATK,RED
647,193,DEF,BLUE
595,22675,DEF,RED
134,150,DEF,BLUE
466,24069,DEF,RED
86,7790,ATK,BLUE
17,5445,DEF,RED
797,20845,DEF,RED
788,21618,ATK,BLUE
611,12943,ATK,BLUE
451,23655,ATK,RED
741,24251,DEF,BLUE
9,8531,DEF,BLUE
646,4763,DEF,RED
499,6719,DEF,RED
705,18627,DEF,BLUE
582,13492,ATK,BLUE
395,6101,DEF,BLUE
83,4504,ATK,BLUE
462,5876,ATK,BLUE
76,7383,ATK,BLUE
292,7393,DEF,BLUE
123,829,ATK,BLUE
325,11307,DEF,BLUE
289,8149,ATK,RED
468,15325,DEF,BLUE
377,7632,ATK,BLUE
581,11545,DEF,RED
467,16824,ATK,RED
89,19430,ATK,BLUE
65,17092,DEF,BLUE
22,5850,ATK,RED
389,24184,DEF,BLUE
14,22369,DEF,BLUE
469,15447,DEF,BLUE
302,5923,DEF,RED
105,1423,DEF,RED
480,14297,DEF,BLUE
530,10093,ATK,RED
430,737,ATK,RED
459,1181,DEF,BLUE
704,18708,ATK,BLUE
778,17100,ATK,RED
496,24439,DEF,BLUE
426,5178,ATK,RED
555,5908,DEF,BLUE
168,23659,DEF,BLUE
258,8459,ATK,RED
741,19454,DEF,RED
416,9123,DEF,BLUE
36,13760,ATK,BLUE
7,23073,DEF,RED
35,21224,DEF,BLUE
438,16821,DEF,RED
225,23460,DEF,RED
669,8679,ATK,RED
160,22193,DEF,RED
763,4625,ATK,RED
262,13037,DEF,RED
349,3338,DEF,RED
545,5604,DEF,BLUE
482,8444,DEF,RED
328,4348,DEF,RED
611,19702,DEF,RED
94,6403,ATK,BLUE
258,11615,DEF,RED
559,10397,DEF,BLUE
739,15901,DEF,RED
780,19125,DEF,RED
363,19724,ATK,BLUE
375,19340,ATK,BLUE
646,17404,DEF,RED
29,11324,DEF,RED
200,14986,ATK,BLUE
569,5565,DEF,BLUE
334,20301,DEF,BLUE
171,24062,DEF,BLUE
373,16977,DEF,BLUE
229,7372,DEF,BLUE
117,5275,DEF,BLUE
329,5553,DEF,BLUE
446,4696,DEF,BLUE
716,11981,DEF,BLUE
243,6874,DEF,BLUE
258,158,DEF,RED
579,7194,ATK,BLUE
796,14561,DEF,RED
99,6599,DEF,RED
703,23176,ATK,BLUE
509,19997,DEF,RED
64,19424,DEF,BLUE
24,1442,DEF,BLUE
740,4166,DEF,RED
173,6101,DEF,BLUE
439,3704,DEF,BLUE
567,15502,ATK,RED
